id,answer,GPT-3.5,LLama3-base,Mistral-7B-instruct-v2,LLama3-Kubernetes-v1
1149,D,D,D,D,D
1150,A,A,A,A,A
1151,B,B,B,B,B
1152,A,A,A,A,A
1153,A,A,A,A,A
1154,B,B,B,B,B
1155,B,A,A,A,A
1156,A,A,A,A,A
1157,A,A,A,A,A
1158,C,C,C,C,C
1159,B,B,B,B,B
1160,D,A,A,A,A
1161,B,B,B,B,B
1162,B,B,B,B,B
1163,B,B,B,B,B
1164,A,A,A,A,A
1165,D,D,D,D,D
1166,B,B,B,B,B
1167,B,B,B,B,B
1168,A,A,A,A,A
1169,D,D,D,D,D
1170,B,B,B,B,B
1171,B,B,B,B,B
1172,B,A,A,A,A
1173,B,B,B,B,B
1174,A,A,A,A,A
1175,A,A,A,A,A
1176,A,A,A,A,A
1177,A,B,B,B,B
1178,A,A,A,A,A
1179,A,A,A,A,A
1180,A,,,,
1181,A,A,A,A,A
1182,A,A,A,A,A
1183,A,B,B,B,B
1184,A,A,A,A,A
1185,A,A,A,A,A
1186,C,C,C,C,C
1187,B,B,B,B,B
1188,B,B,B,B,B
1189,B,B,B,B,B
1190,B,D,D,D,D
1191,B,B,B,B,B
1192,A,A,A,A,A
1193,B,B,B,B,B
1194,B,B,B,B,B
1195,C,C,C,C,C
1196,C,C,C,C,C
1197,A,A,A,A,A
1198,D,D,D,D,D
1199,A,A,A,A,A
1200,C,C,C,C,C
1201,B,B,B,B,B
1202,A,A,A,A,A
1203,D,D,D,D,D
1204,C,C,C,C,C
1205,A,A,A,A,A
1206,B,B,B,B,B
1207,A,D,D,D,D
1208,A,A,A,A,A
1209,C,A,A,A,A
1210,C,A,A,A,A
1211,B,B,B,B,B
1212,B,B,B,B,B
1213,B,B,B,B,B
1214,C,B,B,B,B
1215,C,D,D,D,D
1216,B,B,B,B,B
1217,C,A,A,A,A
1218,B,A,A,A,A
1219,C,C,C,C,C
1220,B,B,B,B,B
1221,B,B,B,B,B
1222,D,D,D,D,D
1223,A,A,A,A,A
1224,D,D,D,D,D
1225,B,B,B,B,B
1226,C,D,D,D,D
1227,C,C,C,C,C
1228,B,B,B,B,B
