id,answer,GPT-3.5,LLama3-base,Mistral-7B-instruct-v2,Mistral-7B-instruct-v2-lora,LLama3-lora-v1,Mistral-7B-instruct-lora-v1
991,B,B,A,A,,A,
992,C,C,B,C,,C,
993,D,D,D,D,,D,
994,A,B,B,A,,B,
995,D,B,A,D,,A,
996,A,D,D,D,,D,
997,C,B,B,B,,B,
998,A,,A,A,,A,
999,C,C,A,C,,C,
1000,D,D,D,D,,D,
1001,D,D,D,D,,D,
1002,A,,B,A,,B,
1003,B,B,A,A,,A,
1004,D,D,D,D,,D,
1005,D,D,D,D,,D,
1006,D,,D,D,,D,
1007,A,D,D,D,,D,
1008,A,C,A,,,A,
1009,D,,A,D,,D,
1010,A,D,A,A,,D,
1011,A,C,B,A,,B,
1012,B,B,B,B,,B,
1013,A,,A,A,,A,
1014,C,B,B,N,,B,
1015,A,,D,A,,D,
1016,C,,B,B,,B,
1017,B,,B,B,,B,
1018,D,,,,,D,
1019,A,,,,,A,
1020,D,,,,,D,
1021,A,,,,,A,
1022,A,,,,,A,
1023,A,,,,,A,
1024,D,,,,,D,
1025,A,,,,,A,
1026,B,,,,,B,
1027,C,,,,,D,
1028,A,,,,,A,
1029,D,,,,,D,
1030,C,,,,,D,
1031,B,,,,,D,
1032,D,,,,,D,
1033,B,,,,,B,
1034,A,,,,,A,
1035,A,,,,,A,
1036,A,,,,,A,
1037,D,,,,,D,
1038,D,,,,,D,
1039,A,,,,,A,
1040,C,,,,,C,
1041,A,,,,,A,
1042,A,,,,,A,
1043,B,,,,,A,
1044,B,,,,,B,
1045,D,,,,,D,
1046,D,,,,,D,
1047,D,,,,,D,
1048,A,,,,,D,
1049,D,,,,,D,
1050,D,,,,,D,
1051,A,,,,,D,
1052,D,,,,,D,
1053,B,,,,,B,
1054,B,,,,,A,
1055,D,,,,,D,
1056,C,,,,,B,
1057,A,,,,,A,
1058,A,,,,,A,
1059,A,,,,,A,
1060,B,,,,,B,
1061,B,,,,,B,
1062,A,,,,,A,
1063,C,,,,,C,
1064,D,,,,,D,
1065,D,,,,,D,
1066,D,,,,,D,
1067,D,,,,,D,
1068,D,,,,,D,
1069,D,,,,,D,
1070,D,,,,,D,
1071,D,,,,,D,
1072,D,,,,,D,
1073,D,,,,,D,
1074,D,,,,,D,
1075,D,,,,,D,
1076,D,,,,,D,
1077,D,,,,,D,
1078,D,,,,,D,
1079,D,,,,,D,
1080,A,,,,,A,
1081,ABCD,,,,,B,
1082,D,,,,,D,
1083,D,,,,,D,
1084,D,,,,,D,
1085,D,,,,,D,
1086,D,,,,,D,
1087,D,,,,,D,
1088,D,,,,,D,
1089,D,,,,,D,
1090,D,,,,,D,
1091,D,,,,,D,
1092,D,,,,,D,
1093,D,,,,,D,
1094,D,,,,,D,
1095,D,,,,,D,
1096,D,,,,,D,
1097,ABCD,,,,,B,
1098,D,,,,,D,
1099,A,,,,,A,
1100,B,,,,,B,
1101,B,,,,,B,
1102,C,,,,,C,
1103,B,,,,,B,
1104,D,,,,,D,
1105,D,,,,,D,
1106,D,,,,,D,
1107,C,,,,,C,
1108,A,,,,,A,
1109,B,,,,,B,
1110,B,,,,,B,
1111,C,,,,,C,
1112,A,,,,,A,
1113,D,,,,,D,
1114,D,,,,,D,
1115,A,,,,,A,
1116,D,,,,,A,
1117,B,,,,,B,
1118,D,,,,,D,
1119,A,,,,,C,
1120,D,,,,,D,
1121,A,,,,,A,
1122,A,,,,,A,
1123,B,,,,,B,
1124,A,,,,,D,
1125,B,,,,,B,
1126,D,,,,,D,
1127,D,,,,,D,
1128,C,,,,,C,
1129,C,,,,,C,
1130,A,,,,,A,
1131,B,,,,,A,
1132,A,,,,,A,
1133,B,,,,,B,
1134,C,,,,,C,
1135,A,,,,,A,
1136,B,,,,,B,
1137,B,,,,,B,
1138,B,,,,,B,
1139,B,,,,,B,
1140,D,,,,,D,
1141,B,,,,,B,
1142,A,,,,,A,
1143,C,,,,,C,
1144,A,,,,,A,
1145,B,,,,,A,
1146,C,,,,,C,
1147,B,,,,,B,
1148,D,,,,,D,
1149,C,,,,,C,
1150,B,,,,,B,
1151,B,,,,,D,
1152,B,,,,,B,
1153,D,,,,,D,
1154,A,,,,,A,
1155,B,,,,,B,
1156,A,,,,,A,
1157,A,,,,,A,
1158,B,,,,,B,
1159,B,,,,,A,
1160,A,,,,,A,
1161,A,,,,,A,
1162,C,,,,,C,
1163,B,,,,,B,
1164,D,,,,,A,
1165,B,,,,,B,
1166,B,,,,,B,
1167,B,,,,,B,
1168,A,,,,,A,
1169,D,,,,,D,
1170,B,,,,,B,
1171,B,,,,,B,
1172,A,,,,,A,
1173,D,,,,,D,
1174,B,,,,,B,
1175,B,,,,,B,
1176,B,,,,,A,
1177,B,,,,,B,
1178,A,,,,,A,
1179,A,,,,,A,
1180,A,,,,,A,
1181,A,,,,,B,
1182,A,,,,,A,
1183,A,,,,,A,
1184,A,,,,,,
1185,A,,,,,A,
1186,A,,,,,A,
1187,A,,,,,B,
1188,A,,,,,A,
1189,A,,,,,A,
1190,C,,,,,C,
1191,B,,,,,B,
1192,B,,,,,B,
1193,B,,,,,B,
1194,B,,,,,D,
1195,B,,,,,B,
1196,A,,,,,A,
1197,B,,,,,B,
1198,B,,,,,B,
1199,C,,,,,C,
1200,C,,,,,C,
1201,A,,,,,A,
1202,D,,,,,D,
1203,A,,,,,A,
1204,C,,,,,C,
1205,B,,,,,B,
1206,A,,,,,A,
1207,D,,,,,D,
1208,C,,,,,C,
1209,A,,,,,A,
1210,B,,,,,B,
1211,A,,,,,D,
1212,A,,,,,A,
1213,C,,,,,A,
1214,C,,,,,A,
1215,B,,,,,B,
1216,B,,,,,B,
1217,B,,,,,B,
1218,C,,,,,B,
1219,C,,,,,D,
1220,B,,,,,B,
1221,C,,,,,A,
1222,B,,,,,A,
1223,C,,,,,C,
1224,B,,,,,B,
1225,B,,,,,B,
1226,D,,,,,D,
1227,A,,,,,A,
1228,D,,,,,D,
1229,B,,,,,B,
1230,C,,,,,D,
1231,C,,,,,C,
1232,B,,,,,B,
